Variable Name,Data Type,Response Type,Levels (if applicable),Description,Data Cleaning Instructions
letterSeq_9_time_2,numeric,metadata,,Seconds elapsed before final click on Letter Sequence problem 9 page,retain
letterSeq_9_time_3,numeric,metadata,,Total number of seconds elapsed while viewing Letter Sequence problem 9 page,retain
letterSeq_9_time_4,integer,metadata,,Total number of clicks while viewing Letter Sequence problem 9 page,retain
letterSeq_10,numeric,text entry (char only),,Participant's response to Letter Sequence problem 10,"retain; correct answer == ""H"""
letterSeq_10_time_1,numeric,metadata,,Seconds elapsed before first click on Letter Sequence problem 10 page,retain
letterSeq_10_time_2,numeric,metadata,,Seconds elapsed before final click on Letter Sequence problem 10 page,retain
letterSeq_10_time_3,numeric,metadata,,Total number of seconds elapsed while viewing Letter Sequence problem 10 page,retain
letterSeq_10_time_4,integer,metadata,,Total number of clicks while viewing Letter Sequence problem 10 page,retain
letterSeq_11,numeric,text entry (char only),,Participant's response to Letter Sequence problem 11,"retain; correct answer == ""O"""
letterSeq_11_time_1,numeric,metadata,,Seconds elapsed before first click on Letter Sequence problem 11 page,retain
letterSeq_11_time_2,numeric,metadata,,Seconds elapsed before final click on Letter Sequence problem 11 page,retain
letterSeq_11_time_3,numeric,metadata,,Total number of seconds elapsed while viewing Letter Sequence problem 11 page,retain
letterSeq_11_time_4,integer,metadata,,Total number of clicks while viewing Letter Sequence problem 11 page,retain
letterSeq_12,numeric,text entry (char only),,Participant's response to Letter Sequence problem 12,"retain; correct answer == ""T"""
letterSeq_12_time_1,numeric,metadata,,Seconds elapsed before first click on Letter Sequence problem 12 page,retain
letterSeq_12_time_2,numeric,metadata,,Seconds elapsed before final click on Letter Sequence problem 12 page,retain
letterSeq_12_time_3,numeric,metadata,,Total number of seconds elapsed while viewing Letter Sequence problem 12 page,retain
letterSeq_12_time_4,integer,metadata,,Total number of clicks while viewing Letter Sequence problem 12 page,retain
letterSeq_13,numeric,text entry (char only),,Participant's response to Letter Sequence problem 13,"retain; correct answer == ""M"""
letterSeq_13_time_1,numeric,metadata,,Seconds elapsed before first click on Letter Sequence problem 13 page,retain
letterSeq_13_time_2,numeric,metadata,,Seconds elapsed before final click on Letter Sequence problem 13 page,retain
letterSeq_13_time_3,numeric,metadata,,Total number of seconds elapsed while viewing Letter Sequence problem 13 page,retain
letterSeq_13_time_4,integer,metadata,,Total number of clicks while viewing Letter Sequence problem 13 page,retain
crt_inst,integer,missing/non-missing,1 = question displayed; missing = question not displayed,Descriptive text providing instructions for 6-item Cognitive Reflection Task (3 original + Baron's analogues),delete
crt_1,numeric,text entry (num only),,Participant's response to CRT problem 1,retain; correct answer == 0.05
crt_2,numeric,text entry (num only),,Participant's response to CRT problem 2,retain; correct answer == 5
crt_3,numeric,text entry (num only),,Participant's response to CRT problem 3,retain; correct answer == 47
crt_4,numeric,text entry (num only),,Participant's response to CRT problem 4,retain; correct answer == 2
crt_5,numeric,text entry (num only),,Participant's response to CRT problem 5,retain; correct answer == 2.25
crt_6,numeric,text entry (num only),,Participant's response to CRT problem 6,retain; correct answer == 5
crt_seenBefore,binary,discrete choice,0 = no; 1 = yes,Binary indicator of whether participant has seen any of the 6 CRT problems before (self-report),retain
crt_time_1,numeric,metadata,,Seconds elapsed before first click on CRT page,retain
crt_time_2,numeric,metadata,,Seconds elapsed before final click on CRT page,retain
crt_time_3,numeric,metadata,,Total number of seconds elapsed while viewing CRT page,retain
crt_time_4,integer,metadata,,Total number of clicks while viewing CRT page,retain
berlin_inst,integer,missing/non-missing,1 = question displayed; missing = question not displayed,Descriptive text providing instructions for Berlin Numeracy Task,delete
berlin_1,numeric,text entry (num only),,Participant's response to Berlin Numeracy problem 1,retain; correct answer == 0.25
berlin_2,numeric,text entry (num only),,Participant's response to Berlin Numeracy problem 2,retain; correct answer == 30
berlin_3,numeric,text entry (num only),,Participant's response to Berlin Numeracy problem 3,retain; correct answer == 20
berlin_4,numeric,text entry (num only),,Participant's response to Berlin Numeracy problem 4,retain; correct answer == 0.5
berlin_time_1,numeric,metadata,,Seconds elapsed before first click on Berlin Numeracy page,retain
berlin_time_2,numeric,metadata,,Seconds elapsed before final click on Berlin Numeracy page,retain
berlin_time_3,numeric,metadata,,Total number of seconds elapsed while viewing Berlin Numeracy page,retain
berlin_time_4,integer,metadata,,Total number of clicks while viewing Berlin Numeracy page,retain
aomt_inst,integer,missing/non-missing,1 = question displayed; missing = question not displayed,Descriptive text providing instructions for Actively Open Minded Thinking scale,delete
aomt_1,integer,7-pt. Likert,1 = strongly disagree; 2 = disagree; 3 = somewhat disagree; 4 = neither agree nor diagree; 5 = somewhat agree; 6 = agree; 7 = strongly agree,Participant's response to AOMT item 1,retain
aomt_2,integer,7-pt. Likert,1 = strongly disagree; 2 = disagree; 3 = somewhat disagree; 4 = neither agree nor diagree; 5 = somewhat agree; 6 = agree; 7 = strongly agree,Participant's response to AOMT item 2,retain
aomt_3,integer,7-pt. Likert,1 = strongly disagree; 2 = disagree; 3 = somewhat disagree; 4 = neither agree nor diagree; 5 = somewhat agree; 6 = agree; 7 = strongly agree,Participant's response to AOMT item 3,retain
aomt_4_revScored,integer,7-pt. Likert,1 = strongly disagree; 2 = disagree; 3 = somewhat disagree; 4 = neither agree nor diagree; 5 = somewhat agree; 6 = agree; 7 = strongly agree,Participant's response to AOMT item 4 (already reverse scored by Qualtrics),retain
aomt_5_revScored,integer,7-pt. Likert,1 = strongly disagree; 2 = disagree; 3 = somewhat disagree; 4 = neither agree nor diagree; 5 = somewhat agree; 6 = agree; 7 = strongly agree,Participant's response to AOMT item 5 (already reverse scored by Qualtrics),retain
aomt_6_revScored,integer,7-pt. Likert,1 = strongly disagree; 2 = disagree; 3 = somewhat disagree; 4 = neither agree nor diagree; 5 = somewhat agree; 6 = agree; 7 = strongly agree,Participant's response to AOMT item 6 (already reverse scored by Qualtrics),retain
aomt_7_revScored,integer,7-pt. Likert,1 = strongly disagree; 2 = disagree; 3 = somewhat disagree; 4 = neither agree nor diagree; 5 = somewhat agree; 6 = agree; 7 = strongly agree,Participant's response to AOMT item 7 (already reverse scored by Qualtrics),retain
aomt_8,integer,7-pt. Likert,1 = strongly disagree; 2 = disagree; 3 = somewhat disagree; 4 = neither agree nor diagree; 5 = somewhat agree; 6 = agree; 7 = strongly agree,Participant's response to AOMT item 8,retain
aomt_9_revScored,integer,7-pt. Likert,1 = strongly disagree; 2 = disagree; 3 = somewhat disagree; 4 = neither agree nor diagree; 5 = somewhat agree; 6 = agree; 7 = strongly agree,Participant's response to AOMT item 9 (already reverse scored by Qualtrics),retain
aomt_10,integer,7-pt. Likert,1 = strongly disagree; 2 = disagree; 3 = somewhat disagree; 4 = neither agree nor diagree; 5 = somewhat agree; 6 = agree; 7 = strongly agree,Participant's response to AOMT item 10,retain
aomt_11,integer,7-pt. Likert,1 = strongly disagree; 2 = disagree; 3 = somewhat disagree; 4 = neither agree nor diagree; 5 = somewhat agree; 6 = agree; 7 = strongly agree,Participant's response to AOMT item 11,retain
aomt_time_1,numeric,metadata,,Seconds elapsed before first click on AOMT page,retain
aomt_time_2,numeric,metadata,,Seconds elapsed before final click on AOMT page,retain
aomt_time_3,numeric,metadata,,Total number of seconds elapsed while viewing AOMT page,retain
aomt_time_4,integer,metadata,,Total number of clicks while viewing AOMT page,retain
nfCog_inst,integer,missing/non-missing,1 = question displayed; missing = question not displayed,Descriptive text providing instructions for Need for Cognition scale,delete
nfCog_1,integer,7-pt. Likert,1 = strongly disagree; 2 = disagree; 3 = somewhat disagree; 4 = neither agree nor diagree; 5 = somewhat agree; 6 = agree; 7 = strongly agree,Participant's response to Need for Cognition item 1,retain
nfCog_2,integer,7-pt. Likert,1 = strongly disagree; 2 = disagree; 3 = somewhat disagree; 4 = neither agree nor diagree; 5 = somewhat agree; 6 = agree; 7 = strongly agree,Participant's response to Need for Cognition item 2,retain
nfCog_3_revScored,integer,7-pt. Likert,1 = strongly disagree; 2 = disagree; 3 = somewhat disagree; 4 = neither agree nor diagree; 5 = somewhat agree; 6 = agree; 7 = strongly agree,Participant's response to Need for Cognition item 3 (already reverse scored by Qualtrics),retain
nfCog_4_revScored,integer,7-pt. Likert,1 = strongly disagree; 2 = disagree; 3 = somewhat disagree; 4 = neither agree nor diagree; 5 = somewhat agree; 6 = agree; 7 = strongly agree,Participant's response to Need for Cognition item 4 (already reverse scored by Qualtrics),retain
nfCog_5_revScored,integer,7-pt. Likert,1 = strongly disagree; 2 = disagree; 3 = somewhat disagree; 4 = neither agree nor diagree; 5 = somewhat agree; 6 = agree; 7 = strongly agree,Participant's response to Need for Cognition item 5 (already reverse scored by Qualtrics),retain
nfCog_6,integer,7-pt. Likert,1 = strongly disagree; 2 = disagree; 3 = somewhat disagree; 4 = neither agree nor diagree; 5 = somewhat agree; 6 = agree; 7 = strongly agree,Participant's response to Need for Cognition item 6,retain
nfCog_7_revScored,integer,7-pt. Likert,1 = strongly disagree; 2 = disagree; 3 = somewhat disagree; 4 = neither agree nor diagree; 5 = somewhat agree; 6 = agree; 7 = strongly agree,Participant's response to Need for Cognition item 7 (already reverse scored by Qualtrics),retain
nfCog_8_revScored,integer,7-pt. Likert,1 = strongly disagree; 2 = disagree; 3 = somewhat disagree; 4 = neither agree nor diagree; 5 = somewhat agree; 6 = agree; 7 = strongly agree,Participant's response to Need for Cognition item 8 (already reverse scored by Qualtrics),retain
nfCog_9_revScored,integer,7-pt. Likert,1 = strongly disagree; 2 = disagree; 3 = somewhat disagree; 4 = neither agree nor diagree; 5 = somewhat agree; 6 = agree; 7 = strongly agree,Participant's response to Need for Cognition item 9 (already reverse scored by Qualtrics),retain
nfCog_10,integer,7-pt. Likert,1 = strongly disagree; 2 = disagree; 3 = somewhat disagree; 4 = neither agree nor diagree; 5 = somewhat agree; 6 = agree; 7 = strongly agree,Participant's response to Need for Cognition item 10,retain
nfCog_11,integer,7-pt. Likert,1 = strongly disagree; 2 = disagree; 3 = somewhat disagree; 4 = neither agree nor diagree; 5 = somewhat agree; 6 = agree; 7 = strongly agree,Participant's response to Need for Cognition item 11,retain
nfCog_12_revScored,integer,7-pt. Likert,1 = strongly disagree; 2 = disagree; 3 = somewhat disagree; 4 = neither agree nor diagree; 5 = somewhat agree; 6 = agree; 7 = strongly agree,Participant's response to Need for Cognition item 12 (already reverse scored by Qualtrics),retain
nfCog_13,integer,7-pt. Likert,1 = strongly disagree; 2 = disagree; 3 = somewhat disagree; 4 = neither agree nor diagree; 5 = somewhat agree; 6 = agree; 7 = strongly agree,Participant's response to Need for Cognition item 13,retain
nfCog_14,integer,7-pt. Likert,1 = strongly disagree; 2 = disagree; 3 = somewhat disagree; 4 = neither agree nor diagree; 5 = somewhat agree; 6 = agree; 7 = strongly agree,Participant's response to Need for Cognition item 14,retain
nfCog_15,integer,7-pt. Likert,1 = strongly disagree; 2 = disagree; 3 = somewhat disagree; 4 = neither agree nor diagree; 5 = somewhat agree; 6 = agree; 7 = strongly agree,Participant's response to Need for Cognition item 15,retain
nfCog_16_revScored,integer,7-pt. Likert,1 = strongly disagree; 2 = disagree; 3 = somewhat disagree; 4 = neither agree nor diagree; 5 = somewhat agree; 6 = agree; 7 = strongly agree,Participant's response to Need for Cognition item 16 (already reverse scored by Qualtrics),retain
nfCog_17_revScored,integer,7-pt. Likert,1 = strongly disagree; 2 = disagree; 3 = somewhat disagree; 4 = neither agree nor diagree; 5 = somewhat agree; 6 = agree; 7 = strongly agree,Participant's response to Need for Cognition item 17 (already reverse scored by Qualtrics),retain
nfCog_18,integer,7-pt. Likert,1 = strongly disagree; 2 = disagree; 3 = somewhat disagree; 4 = neither agree nor diagree; 5 = somewhat agree; 6 = agree; 7 = strongly agree,Participant's response to Need for Cognition item 18,retain
nfCog_time_1,numeric,metadata,,Seconds elapsed before first click on Need for Cognition page,retain
nfCog_time_2,numeric,metadata,,Seconds elapsed before final click on Need for Cognition page,retain
nfCog_time_3,numeric,metadata,,Total number of seconds elapsed while viewing Need for Cognition page,retain
nfCog_time_4,integer,metadata,,Total number of clicks while viewing Need for Cognition page,retain
big5_inst,integer,missing/non-missing,1 = question displayed; missing = question not displayed,Descriptive text providing instructions for BIG-5 Personality scale (10-items),delete
big5_1_revScored,integer,7-pt. Likert,1 = strongly disagree; 2 = disagree; 3 = somewhat disagree; 4 = neither agree nor diagree; 5 = somewhat agree; 6 = agree; 7 = strongly agree,Participant's response to BIG-5 item 1 (already reverse scored by Qualtrics),retain
big5_2,integer,7-pt. Likert,1 = strongly disagree; 2 = disagree; 3 = somewhat disagree; 4 = neither agree nor diagree; 5 = somewhat agree; 6 = agree; 7 = strongly agree,Participant's response to BIG-5 item 2,retain
big5_3_revScored,integer,7-pt. Likert,1 = strongly disagree; 2 = disagree; 3 = somewhat disagree; 4 = neither agree nor diagree; 5 = somewhat agree; 6 = agree; 7 = strongly agree,Participant's response to BIG-5 item 3 (already reverse scored by Qualtrics),retain
big5_4_revScored,integer,7-pt. Likert,1 = strongly disagree; 2 = disagree; 3 = somewhat disagree; 4 = neither agree nor diagree; 5 = somewhat agree; 6 = agree; 7 = strongly agree,Participant's response to BIG-5 item 4 (already reverse scored by Qualtrics),retain
big5_5_revScored,integer,7-pt. Likert,1 = strongly disagree; 2 = disagree; 3 = somewhat disagree; 4 = neither agree nor diagree; 5 = somewhat agree; 6 = agree; 7 = strongly agree,Participant's response to BIG-5 item 5 (already reverse scored by Qualtrics),retain
big5_6,integer,7-pt. Likert,1 = strongly disagree; 2 = disagree; 3 = somewhat disagree; 4 = neither agree nor diagree; 5 = somewhat agree; 6 = agree; 7 = strongly agree,Participant's response to BIG-5 item 6,retain
big5_7_revScored,integer,7-pt. Likert,1 = strongly disagree; 2 = disagree; 3 = somewhat disagree; 4 = neither agree nor diagree; 5 = somewhat agree; 6 = agree; 7 = strongly agree,Participant's response to BIG-5 item 7 (already reverse scored by Qualtrics),retain
big5_8,integer,7-pt. Likert,1 = strongly disagree; 2 = disagree; 3 = somewhat disagree; 4 = neither agree nor diagree; 5 = somewhat agree; 6 = agree; 7 = strongly agree,Participant's response to BIG-5 item 8,retain
big5_9,integer,7-pt. Likert,1 = strongly disagree; 2 = disagree; 3 = somewhat disagree; 4 = neither agree nor diagree; 5 = somewhat agree; 6 = agree; 7 = strongly agree,Participant's response to BIG-5 item 9,retain
big5_10,integer,7-pt. Likert,1 = strongly disagree; 2 = disagree; 3 = somewhat disagree; 4 = neither agree nor diagree; 5 = somewhat agree; 6 = agree; 7 = strongly agree,Participant's response to BIG-5 item 10,retain
big5_time_1,numeric,metadata,,Seconds elapsed before first click on BIG-5 page,retain
big5_time_2,numeric,metadata,,Seconds elapsed before final click on BIG-5 page,retain
big5_time_3,numeric,metadata,,Total number of seconds elapsed while viewing BIG-5 page,retain
big5_time_4,integer,metadata,,Total number of clicks while viewing BIG-5 page,retain
toa_1,integer,7-pt. Likert,1 = strongly disagree; 2 = moderately disagree; 3 = slightly disagree; 4 = neither agree nor diagree; 5 = slightly agree; 6 = moderately agree; 7 = strongly agree,Participant's response to Tolerance of Ambiguity item 1,retain
toa_2,integer,7-pt. Likert,1 = strongly disagree; 2 = moderately disagree; 3 = slightly disagree; 4 = neither agree nor diagree; 5 = slightly agree; 6 = moderately agree; 7 = strongly agree,Participant's response to Tolerance of Ambiguity item 2,retain
toa_3,integer,7-pt. Likert,1 = strongly disagree; 2 = moderately disagree; 3 = slightly disagree; 4 = neither agree nor diagree; 5 = slightly agree; 6 = moderately agree; 7 = strongly agree,Participant's response to Tolerance of Ambiguity item 3,retain
toa_4,integer,7-pt. Likert,1 = strongly disagree; 2 = moderately disagree; 3 = slightly disagree; 4 = neither agree nor diagree; 5 = slightly agree; 6 = moderately agree; 7 = strongly agree,Participant's response to Tolerance of Ambiguity item 4,retain
toa_5,integer,7-pt. Likert,1 = strongly disagree; 2 = moderately disagree; 3 = slightly disagree; 4 = neither agree nor diagree; 5 = slightly agree; 6 = moderately agree; 7 = strongly agree,Participant's response to Tolerance of Ambiguity item 5,retain
toa_6,integer,7-pt. Likert,1 = strongly disagree; 2 = moderately disagree; 3 = slightly disagree; 4 = neither agree nor diagree; 5 = slightly agree; 6 = moderately agree; 7 = strongly agree,Participant's response to Tolerance of Ambiguity item 6,retain
toa_7,integer,7-pt. Likert,1 = strongly disagree; 2 = moderately disagree; 3 = slightly disagree; 4 = neither agree nor diagree; 5 = slightly agree; 6 = moderately agree; 7 = strongly agree,Participant's response to Tolerance of Ambiguity item 7,retain
toa_8,integer,7-pt. Likert,1 = strongly disagree; 2 = moderately disagree; 3 = slightly disagree; 4 = neither agree nor diagree; 5 = slightly agree; 6 = moderately agree; 7 = strongly agree,Participant's response to Tolerance of Ambiguity item 8,retain
toa_9,integer,7-pt. Likert,1 = strongly disagree; 2 = moderately disagree; 3 = slightly disagree; 4 = neither agree nor diagree; 5 = slightly agree; 6 = moderately agree; 7 = strongly agree,Participant's response to Tolerance of Ambiguity item 9,retain
toa_10,integer,7-pt. Likert,1 = strongly disagree; 2 = moderately disagree; 3 = slightly disagree; 4 = neither agree nor diagree; 5 = slightly agree; 6 = moderately agree; 7 = strongly agree,Participant's response to Tolerance of Ambiguity item 10,retain
toa_11,integer,7-pt. Likert,1 = strongly disagree; 2 = moderately disagree; 3 = slightly disagree; 4 = neither agree nor diagree; 5 = slightly agree; 6 = moderately agree; 7 = strongly agree,Participant's response to Tolerance of Ambiguity item 11,retain
toa_12,integer,7-pt. Likert,1 = strongly disagree; 2 = moderately disagree; 3 = slightly disagree; 4 = neither agree nor diagree; 5 = slightly agree; 6 = moderately agree; 7 = strongly agree,Participant's response to Tolerance of Ambiguity item 12,retain
toa_13,integer,7-pt. Likert,1 = strongly disagree; 2 = moderately disagree; 3 = slightly disagree; 4 = neither agree nor diagree; 5 = slightly agree; 6 = moderately agree; 7 = strongly agree,Participant's response to Tolerance of Ambiguity item 13,retain
toa_14,integer,7-pt. Likert,1 = strongly disagree; 2 = moderately disagree; 3 = slightly disagree; 4 = neither agree nor diagree; 5 = slightly agree; 6 = moderately agree; 7 = strongly agree,Participant's response to Tolerance of Ambiguity item 14,retain
toa_15,integer,7-pt. Likert,1 = strongly disagree; 2 = moderately disagree; 3 = slightly disagree; 4 = neither agree nor diagree; 5 = slightly agree; 6 = moderately agree; 7 = strongly agree,Participant's response to Tolerance of Ambiguity item 15,retain
toa_16,integer,7-pt. Likert,1 = strongly disagree; 2 = moderately disagree; 3 = slightly disagree; 4 = neither agree nor diagree; 5 = slightly agree; 6 = moderately agree; 7 = strongly agree,Participant's response to Tolerance of Ambiguity item 16,retain
toa_time_1,numeric,metadata,,Seconds elapsed before first click on Tolerance of Ambiguity page,retain
toa_time_2,numeric,metadata,,Seconds elapsed before final click on Tolerance of Ambiguity page,retain
toa_time_3,numeric,metadata,,Total number of seconds elapsed while viewing Tolerance of Ambiguity page,retain
toa_time_4,integer,metadata,,Total number of clicks while viewing Tolerance of Ambiguity page,retain
svo_inst,integer,missing/non-missing,1 = question displayed; missing = question not displayed,Descriptive text providing instructions for Social Value Orientation task (Version A),delete
svo_a_1,integer,discrete choice,refer to task,Participant's response to SVO item 1,retain
svo_a_2,integer,discrete choice,refer to task,Participant's response to SVO item 2,retain
svo_a_3,integer,discrete choice,refer to task,Participant's response to SVO item 3,retain
svo_a_4,integer,discrete choice,refer to task,Participant's response to SVO item 4,retain
svo_a_5,integer,discrete choice,refer to task,Participant's response to SVO item 5,retain
svo_a_6,integer,discrete choice,refer to task,Participant's response to SVO item 6,retain
svo_a_7,integer,discrete choice,refer to task,Participant's response to SVO item 7,retain
svo_a_8,integer,discrete choice,refer to task,Participant's response to SVO item 8,retain
svo_a_9,integer,discrete choice,refer to task,Participant's response to SVO item 9,retain
svo_a_10,integer,discrete choice,refer to task,Participant's response to SVO item 10,retain
svo_a_11,integer,discrete choice,refer to task,Participant's response to SVO item 11,retain
svo_a_12,integer,discrete choice,refer to task,Participant's response to SVO item 12,retain
svo_a_13,integer,discrete choice,refer to task,Participant's response to SVO item 13,retain
svo_a_14,integer,discrete choice,refer to task,Participant's response to SVO item 14,retain
svo_a_15,integer,discrete choice,refer to task,Participant's response to SVO item 15,retain
svo_a_time_1,numeric,metadata,,Seconds elapsed before first click on Social Value Orientation page,retain
svo_a_time_2,numeric,metadata,,Seconds elapsed before final click on Social Value Orientation page,retain
svo_a_time_3,numeric,metadata,,Total number of seconds elapsed while viewing Social Value Orientation page,retain
svo_a_time_4,integer,metadata,,Total number of clicks while viewing Social Value Orientation page,retain
eyes_inst,integer,missing/non-missing,1 = question displayed; missing = question not displayed,Descriptive text providing instructions for Reading the Mind in the Eyes task,delete
eyes_practice,integer,discrete choice,refer to task,Participant's response to the Mind in the Eyes practice problem,delete
eyes_pracCorrect,integer,missing/non-missing,1 = question displayed; missing = question not displayed,Descriptive text indicating that the participant's response to the Mind in the Eyes practice problem is correct,delete
eyes_pracIncorrect,integer,missing/non-missing,1 = question displayed; missing = question not displayed,Descriptive text indicating that the participant's response to the Mind in the Eyes practice problem is incorrect,delete
eyes_1,integer,discrete choice,refer to task,Participant's response to the Mind in the Eyes problem 1,retain; correct answer == 1
eyes_2,integer,discrete choice,refer to task,Participant's response to the Mind in the Eyes problem 2,retain; correct answer == 2
eyes_3,integer,discrete choice,refer to task,Participant's response to the Mind in the Eyes problem 3,retain; correct answer == 3
eyes_4,integer,discrete choice,refer to task,Participant's response to the Mind in the Eyes problem 4,retain; correct answer == 2
eyes_5,integer,discrete choice,refer to task,Participant's response to the Mind in the Eyes problem 5,retain; correct answer == 3
eyes_6,integer,discrete choice,refer to task,Participant's response to the Mind in the Eyes problem 6,retain; correct answer == 2
eyes_7,integer,discrete choice,refer to task,Participant's response to the Mind in the Eyes problem 7,retain; correct answer == 3
eyes_8,integer,discrete choice,refer to task,Participant's response to the Mind in the Eyes problem 8,retain; correct answer == 1
eyes_9,integer,discrete choice,refer to task,Participant's response to the Mind in the Eyes problem 9,retain; correct answer == 4
eyes_10,integer,discrete choice,refer to task,Participant's response to the Mind in the Eyes problem 10,retain; correct answer == 1
eyes_11,integer,discrete choice,refer to task,Participant's response to the Mind in the Eyes problem 11,retain; correct answer == 3
eyes_12,integer,discrete choice,refer to task,Participant's response to the Mind in the Eyes problem 12,retain; correct answer == 3
eyes_13,integer,discrete choice,refer to task,Participant's response to the Mind in the Eyes problem 13,retain; correct answer == 2
eyes_14,integer,discrete choice,refer to task,Participant's response to the Mind in the Eyes problem 14,retain; correct answer == 4
eyes_15,integer,discrete choice,refer to task,Participant's response to the Mind in the Eyes problem 15,retain; correct answer == 1
eyes_16,integer,discrete choice,refer to task,Participant's response to the Mind in the Eyes problem 16,retain; correct answer == 2
eyes_17,integer,discrete choice,refer to task,Participant's response to the Mind in the Eyes problem 17,retain; correct answer == 1
eyes_18,integer,discrete choice,refer to task,Participant's response to the Mind in the Eyes problem 18,retain; correct answer == 1
eyes_19,integer,discrete choice,refer to task,Participant's response to the Mind in the Eyes problem 19,retain; correct answer == 4
eyes_20,integer,discrete choice,refer to task,Participant's response to the Mind in the Eyes problem 20,retain; correct answer == 2
eyes_21,integer,discrete choice,refer to task,Participant's response to the Mind in the Eyes problem 21,retain; correct answer == 2
eyes_22,integer,discrete choice,refer to task,Participant's response to the Mind in the Eyes problem 22,retain; correct answer == 1
eyes_23,integer,discrete choice,refer to task,Participant's response to the Mind in the Eyes problem 23,retain; correct answer == 3
eyes_24,integer,discrete choice,refer to task,Participant's response to the Mind in the Eyes problem 24,retain; correct answer == 1
eyes_25,integer,discrete choice,refer to task,Participant's response to the Mind in the Eyes problem 25,retain; correct answer == 4
eyes_26,integer,discrete choice,refer to task,Participant's response to the Mind in the Eyes problem 26,retain; correct answer == 3
eyes_27,integer,discrete choice,refer to task,Participant's response to the Mind in the Eyes problem 27,retain; correct answer == 2
eyes_28,integer,discrete choice,refer to task,Participant's response to the Mind in the Eyes problem 28,retain; correct answer == 1
eyes_29,integer,discrete choice,refer to task,Participant's response to the Mind in the Eyes problem 29,retain; correct answer == 4
eyes_30,integer,discrete choice,refer to task,Participant's response to the Mind in the Eyes problem 30,retain; correct answer == 2
eyes_31,integer,discrete choice,refer to task,Participant's response to the Mind in the Eyes problem 31,retain; correct answer == 2
eyes_32,integer,discrete choice,refer to task,Participant's response to the Mind in the Eyes problem 32,retain; correct answer == 1
eyes_33,integer,discrete choice,refer to task,Participant's response to the Mind in the Eyes problem 33,retain; correct answer == 4
eyes_34,integer,discrete choice,refer to task,Participant's response to the Mind in the Eyes problem 34,retain; correct answer == 3
eyes_35,integer,discrete choice,refer to task,Participant's response to the Mind in the Eyes problem 35,retain; correct answer == 2
eyes_36,integer,discrete choice,refer to task,Participant's response to the Mind in the Eyes problem 36,retain; correct answer == 3
eyes_time_1,numeric,metadata,,Seconds elapsed before first click on Mind in the Eyes page,retain
eyes_time_2,numeric,metadata,,Seconds elapsed before final click on Mind in the Eyes page,retain
eyes_time_3,numeric,metadata,,Total number of seconds elapsed while viewing Mind in the Eyes page,retain
eyes_time_4,integer,metadata,,Total number of clicks while viewing Mind in the Eyes page,retain
